,id,srm,hex
809,DXvlfF,,
810,HNERGk,,
811,x9AmCh,,
812,0RPDbN,,
813,RsTK7E,6.0,F8A600
814,KGRJ8z,,
815,QHxV4D,,
816,kW1A8G,,
817,DmuOk0,,
818,xIVgMc,,
819,9jWoVK,,
820,Kt5IEV,,
821,lI1L4J,,
822,Xndkpr,,
823,ifZ8V4,,
824,s3OJNh,,
825,A5tv2Y,,
826,6kLXk8,,
827,MBDPYZ,,
828,neDwls,10.0,DE7C00
829,3cPa0n,18.0,A63E00
830,5Q6bFP,,
831,gSdZta,,
832,Qfr6c1,,
833,UdK91a,,
834,QP90gF,11.0,D77200
835,hMtNMS,,
836,kS0TdN,,
837,mAAJMW,,
838,B7P5BI,,
839,uu9g7A,,
840,qZ3r44,,
841,NFFKYq,,
842,zYy8iH,,
843,tgxFQB,,
844,sScqkZ,,
845,HhYZh9,,
846,s53vAs,,
847,rOZe3g,,
848,GQIt83,,
849,eTJ9AZ,,
850,iLk4Vz,,
851,5HWIkT,,
852,Qupjgm,,
853,VX69jk,,
854,WRBYjP,,
855,b62ahk,,
856,Ze749f,,
857,Cd8KNp,,
858,Pn0623,,
859,dny7ic,,
860,rjKzrZ,,
861,G8u2b8,,
862,k8gU5c,,
863,opxjW7,,
864,6slRlr,,
865,78kDjG,,
866,uHg5Ur,,
867,zLCcMb,,
868,A93ST5,,
869,2tplPY,,
870,dzFSZz,,
871,lWKVEX,,
872,R5ZQjb,,
873,ixcAFu,,
874,q36J9G,,
875,aEBj0Q,,
876,ghuJZE,,
877,bbKfi1,,
878,f1bln5,,
879,DA4jUf,,
880,xsnJ3o,,
881,CT6fcl,,
882,VZSW84,,
883,3BzDbS,,
884,g4HTHg,,
885,XUL2yi,,
886,OWkYLb,,
887,tRGa3f,,
888,6sTLAy,,
889,E62i7w,,
890,Trrbu5,,
891,j0161S,,
892,J1NaV0,,
893,ARcqLr,,
894,Is06xr,,
895,fs58I7,,
896,k46s5Z,,
897,gxPIlv,,
898,DR14xU,,
899,ZEsWmn,,
900,vSGcZr,,
901,ldiyh0,,
902,s7vM0W,,
903,WQyasy,,
904,TVCOly,,
905,7VpMYF,,
906,oFg6ov,,
907,MSt4zl,,
908,inBrUa,,
909,z7lsxL,,
910,xXnhis,,
911,aSj8hh,,
912,XwxNJA,,
913,2zpRz7,,
